,Link,Title,Price,Details,Rating,TItle
25,https://www.airbnb.co.in/rooms/50936658?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹9,351 per night, originally ₹28,237",3 beds,4.81,Apartment in Honolulu
26,https://www.airbnb.co.in/rooms/41049059?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹13,192 per night",1 bed,4.87,Flat in Honolulu
27,https://www.airbnb.co.in/rooms/46988727?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹12,563 per night",1 bed,4.88,Apartment in Honolulu
28,https://www.airbnb.co.in/rooms/49772787?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹14,581 per night",1 queen bed,4.9,Apartment in Honolulu
29,https://www.airbnb.co.in/rooms/26332505?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹14,159 per night",1 queen bed,4.29,Private room in Hauula
30,https://www.airbnb.co.in/rooms/44651252?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹14,244 per night, originally ₹17,392",1 queen bed,4.85,Flat in Honolulu
31,https://www.airbnb.co.in/rooms/628600007697774113?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹14,231 per night",2 beds,5.0,Apartment in Honolulu
32,https://www.airbnb.co.in/rooms/37535565?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹10,344 per night, originally ₹13,570",1 queen bed,4.76,Apartment in Honolulu
33,https://www.airbnb.co.in/rooms/54007519?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹11,708 per night",1 queen bed,4.79,Apartment in Honolulu
34,https://www.airbnb.co.in/rooms/47838034?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹11,650 per night, originally ₹13,224",1 king bed,4.92,Flat in Honolulu
35,https://www.airbnb.co.in/rooms/48232670?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹9,532 per night",1 bed,4.63,Apartment in Honolulu
36,https://www.airbnb.co.in/rooms/42895769?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹14,802 per night",2 beds,4.81,Private room in Waialua
37,https://www.airbnb.co.in/rooms/26063949?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹16,973 per night, originally ₹18,547",1 king bed,4.56,Hotel room in Honolulu
38,https://www.airbnb.co.in/rooms/34794870?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹11,113 per night",1 queen bed,4.63,Flat in Honolulu
39,https://www.airbnb.co.in/rooms/47202899?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹11,956 per night, originally ₹13,530",2 beds,4.42,Apartment in Honolulu
40,https://www.airbnb.co.in/rooms/614598780444759854?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=3187c8c4-2291-4303-bc5a-9a2d453d65ea,,"₹17,512 per night, originally ₹19,872",1 bed,4.83,Flat in Hauula
41,https://www.airbnb.co.in/rooms/547262530563127251?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=7d786045-5d52-42da-bc9c-7cde516f3ea0,,"₹12,841 per night, originally ₹14,415",1 queen bed,4.92,Apartment in Honolulu
42,https://www.airbnb.co.in/rooms/29599452?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=7d786045-5d52-42da-bc9c-7cde516f3ea0,,"₹14,385 per night, originally ₹17,139",1 queen bed,4.74,Apartment in Honolulu
43,https://www.airbnb.co.in/rooms/39514622?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=7d786045-5d52-42da-bc9c-7cde516f3ea0,,"₹11,200 per night, originally ₹13,561",1 queen bed,4.75,Flat in Honolulu
